,lineage,ncomph,ncompk,mdeg_l,dmdeg_l,mdeg_h,dmdeg_h,mcompmass_h,mcompmass_d,fdim0,cnumh,cnumk,area_l,area_h,circum_l,circum_h,circ0,circ1,asra0,asra1,line
29,/home/tjc54/datasets/SCC_YM/p1/2.1,0.00023429196649369692,528.3130890293378,0.4822271070522978,3285.6157772514134,1.2409500270272162,2784.167582547933,1260227.0314087817,9021358306.415546,-56.20211336094662,0.0024780651690638157,8.56634672770938,702.635784974448,727.652015416071,132.13979721625657,131.8728628609602,34.00172932838285,0.5854385664095492,273.2650091230246,2.564780630513288,r
30,/home/tjc54/datasets/SCC_YM/p1/2.2,0.0002667672430865215,514.2808442371239,0.540725038570753,3007.4843930104835,1.2136000380986462,2375.5156032126592,2040419.894190689,12838346536.806541,-75.51985001872288,0.00040932799431921715,3.680779041411591,1031.7292876624124,761.1764916736688,164.40777805015415,122.61329388690137,414.12776243773976,0.49087673470638704,-1963.5871562734924,3.068421986502498,r
31,/home/tjc54/datasets/SCC_YM/p1/2.3,0.00026313334397793276,498.17345374756087,0.5226757057360424,3253.898089697955,1.1420347353840823,1700.974147486364,780042.9172366377,4030540809.994317,-53.889787254984405,0.0004084111196883389,3.550429369059395,834.8942213141756,657.6933312767145,157.94661543485824,122.14891599528573,372.92385057983404,0.43049212891648997,-1192.7128155340647,3.1680405523954946,r
32,/home/tjc54/datasets/SCC_YM/p1/2.4,0.00025648074637743616,554.7516211225814,0.4624037606689577,2943.1049803775923,1.1593551954463956,2632.5064978419105,1097780.2099513288,7218811914.145237,-56.206415243472954,0.0009212309694241004,4.785734860880735,668.4155174150948,627.0551113617989,129.81143950830582,115.50392047531263,118.99836392007408,0.5763849011670025,-544.6214447417477,2.7345685917356923,r
33,/home/tjc54/datasets/SCC_YM/p1/2.5,0.00025463655202698644,536.3406413256423,0.4958875827436817,3209.0582515791048,1.2006036458266767,2428.670253084856,995511.5183724338,6423068743.443737,-45.14397977685603,0.0003994513002712661,4.027175842097858,671.6700244965004,591.9743722800451,130.28241248759204,113.74134223336135,128.1508406433697,0.560028028701104,-368.89966120631186,2.744148352119136,r
34,/home/tjc54/datasets/SCC_YM/p1/2.6,0.00022271168748477454,529.7333910147574,0.48105615888418013,2946.750959394069,1.2299283420790499,3044.226506164886,864627.409242186,6991263073.932935,-64.83405728775382,0.0015105628636999154,5.661727567774761,823.61071236622,876.8640472425752,149.0983743213144,140.00559425729278,223.51389802055888,0.5144805975198533,-359.4679999834372,2.713273750997519,r
35,/home/tjc54/datasets/SCC_YM/p1/3.1,0.0002656091589133619,567.645374958752,0.5286263516779666,3126.2255770661855,1.2696901668717337,2802.2849444839503,1419956.943727186,9774782985.821312,-55.591037753443075,0.00036886283123674466,4.128068508725102,737.8960049882016,590.1600858259998,127.7525516730194,104.82132140252628,235.50936610214976,0.6201038845186044,-757.1076113719054,2.479400685348214,r
36,/home/tjc54/datasets/SCC_YM/p1/3.2,0.00025730811945409477,494.0797397666115,0.5483576931280654,3092.0771019805256,1.2234397100485896,2308.579033383668,1483890.9470414324,10269585454.5345,-59.6202133331909,0.0004234013805777896,4.015162002671496,744.1744643751551,675.9891138287164,134.57961758673093,119.26270449319235,172.80514536937483,0.5646419782352488,-477.5382583863486,2.6758089239296017,r
37,/home/tjc54/datasets/SCC_YM/p1/3.3,0.00023916832684764476,550.155174268196,0.49184789814348967,2959.2437489559584,1.2832297549023182,3371.8111051146693,1137698.3284221063,8772368697.349571,-55.45857183799721,0.00033709734606268753,3.734697160415443,723.5749983880678,702.1515075251945,135.22801904307494,123.56729312085562,339.72610604474977,0.5248000358834237,-1319.410828844963,2.8950292252156347,r
38,/home/tjc54/datasets/SCC_YM/p1/3.4,0.00020851594566619576,442.32976805172393,0.6421351404424271,3979.571397714158,1.6559080369829984,4130.61177461041,2429846.203635008,15316499422.816189,-57.653824114544044,0.00033767150383663143,3.9704051389365373,856.4697540655255,686.4907902836876,143.0221815786666,113.55160000387626,597.3953451383973,0.5000947039847908,-2058.8420728154506,2.927236144349618,r
